brandName_0_lang,brandName_0_value,brandName_1_lang,brandName_1_value,brandName_2_lang,brandName_2_value,gpcCode,gtin,netContent_0_measurementUnitCode,netContent_0_quantity,netContent_1_measurementUnitCode,netContent_1_quantity,netContent_2_measurementUnitCode,netContent_2_quantity,netContent_3_measurementUnitCode,netContent_3_quantity,netContent_4_measurementUnitCode,netContent_4_quantity,status,targetMarketCountryCode_0,targetMarketCountryCode_1,targetMarketCountryCode_2,tradeItemDescription_0_lang,tradeItemDescription_0_value,tradeItemDescription_1_lang,tradeItemDescription_1_value,tradeItemDescription_2_lang,tradeItemDescription_2_value,tradeItemImageUrl_0_lang,tradeItemImageUrl_0_value,tradeItemImageUrl_1_lang,tradeItemImageUrl_1_value,tradeItemImageUrl_2_lang,tradeItemImageUrl_2_value
en-US,Pantene,,,,,10000346,00080878187881,OZA,10.5,MLT,311,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Classic Clean Conditioner, 10.5 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321940_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878187898,OZA,11,MLT,326,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Curl Perfection Shampoo, 11 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321941_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878187904,OZA,10.5,MLT,311,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Curl Perfection Conditioner, 10.5 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321942_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878187911,OZA,11,MLT,326,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Daily Moisture Renewal Shampoo, 11 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321943_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878187928,OZA,11,MLT,326,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Daily Moisture Renewal 2 in 1 Shampoo & Conditioner, 11 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321944_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878187935,OZA,10.5,MLT,311,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Daily Moisture Renewal Conditioner, 10.5 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321945_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878187997,OZA,11,MLT,326,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Radiant Color Volume Shampoo, 11 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321951_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878188000,OZA,10.5,MLT,311,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Radiant Color Volume Conditioner, 10.5 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321952_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878188017,OZA,11,MLT,326,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Repair & Protect Shampoo, 11 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321953_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878188024,OZA,11,MLT,326,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Repair & Protect 2 in 1 Shampoo & Conditioner, 11 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321954_master_preview,,,,
